PrintISSN,EISSN,Title,Publisher,Reason for re-evaluation,Year,Volume,Issue,Page range
,13094653,Turkisch Journal of Computer and Mathematics Education,Turkbilmat Egitim Hizmetleri,Publication Concerns,2020,11,3,814-841
13036521,,Turkish Online Journal of Educational Technology,Sakarya University,Publication Concerns,2017,16,4,187-194
,13096591,Turkish Online Journal of Qualitative Inquiry,Abdullah Kuzu,Publication Concerns,2020,11,4,599-617
23319712,23319720,Universal Journal of Accounting and Finance,Horizon Reseach Publishing,Publication Concerns,2022,10,1,358-366
23323205,23323213,Universal Journal of Educational Research,Horizon Reseach Publishing,Publication Concerns,2020,8,11C,136-148
23323280,23323299,Universal Journal of Electrical and Electronic Engineering,Horizon Research Publishing,Publication Concerns,2019,6,5b,103-114
23323353,23323361,Universal Journal of Mechanical Engineering,Horizon Research Publishing,Publication Concerns,2019,7,6C,32-36
24152897,22183620,Universidad y Sociedad,"University of Cienfuegos, Carlos Rafael Rodriguez",Publication Concerns,2023,15,3,772-780
13165216,24779555,Utopia y Praxis Latinoamericana,Universidad del Zulia,Radar,2020,25,Extra 13,225-243
0174738X,,Verdauungskrankheiten,Dustri-Verlag Dr. Karl Feistle,Metrics,2017,35,1,39-40
,19944659,Veterinary Research,Medwell Journals,Publication Concerns,2015,8,1,01-Aug
,18490336,Vjesnik za Arheologiju i Povijest Dalmatinsku,Archaeological Museum in Split,Metrics,2017,110,2,677-700
496650,,Vogelwarte,Deutsche Ornithologen-Gesellschaft,Metrics,2018,56,3,161-288
428779,,Voprosy Istorii  ,"Rossiiskaya Akademiya Nauk, Institut Istorii (Russian Academy of Sciences, Institute of General Hist)",Publication Concerns,2022,6,1,143-152
23053488,,Water and Ecology: Problems and Solutions,St. Petersburg State University of Architecture and Civil Engineering,Publication concerns,2020,25,3,79-84
17455030,17455049,Waves in Random and Complex Media  ,Taylor & Francis,Radar,2023,33,3,841-859
1735188X,,Webology,Webology Center,Publication Concerns,2021,18,Special issue,1137-1157
15308669,15308677,Wireless Communications and Mobile Computing ,Hindawi Limited,Radar,2023,,,Art.No: 9898169
18293824,,Wisdom,Khachatur Abovyan Armenian State Pedagogical University,Publication Concerns,2022,22,2,277-288
,17433525,WIT Transactions on Biomedicine and Health,WIT press,Publication Concerns,2014,18,,1267-1274
,17433517,WIT Transactions on Information and Communication Technologies,WIT press,Publication Concerns,2014,58,,615-625
,1743355X,WIT transactions on Modelling and Simulation,WIT press,Publication Concerns,2014,60,,1389-1396
18184952,19916426,World Applied Sciences Journal,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2016,34,5,571-580
15564002,25776584,World Heart Journal,Nova Science Publishers Inc.,Radar,2020,12,4,367-372
,23078960,World Journal of Clinical Cases,Baishideng Publishing Group Inc,Publication concerns,2023,11,4,972-978
,22184333,World Journal of Clinical Oncology,Baishideng Publishing Group Co,Publication Concerns,2018,9,8,200-207
18173055,19904061,World Journal of Medical Sciences,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2014,10,3,No page range
17467233,,World Journal of Modelling and Simulation,World Academic Union (World Academic Press),Publication Concerns,2017,1,37,44
13091506,13090348,World Journal on Educational Technology,Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi,Publication Concerns,2022,14,5,1634-1641
22242864,11092742,WSEAS Transactions on Communications,World Scientific and Engineering Academy and Society,Publication Concerns,2014,13,,No page range
22242872,11092750,WSEAS Transactions on Computers,World Scientific and Engineering Academy and Society,Publication Concerns,2014,13,,No page range
22243488,17905052,WSEAS Transactions on Signal Processing,World Scientific and Engineering Academy and Society,Publication Concerns,2014,13,,No page range
10011749,,Wutan Huatan Jisuan Jishu,China National Publications Import and Export (Group) Corporation,RADAR,2019,41,5,697-704
9170480,18819664,Zairyo to Kankyo,Japan Society Of Corrosion Engineering,Metrics,2018,67,6,267
9467998,,Zeitschrift fur Feldherpetologie,Laurenti Verlag,Metrics,2018,25,2,225-233
14361957,,Zeitschrift fur Soziologie der Erziehung und Sozialisation,Juventa Verlag GmbH,Radar,2019,39,4,400-423
9426086,,Zentralsterilisation - Central Service,mhp-Verlag,Metrics,2017,25,2,111-116
16188950,,"ZFV - Zeitschrift fur Geodasie, Geoinformation und Landmanagement",Verlag Dr. Bernd Wiissner,Radar,2020,,4,254-261
3410552,,Ziegelindustrie International/Brick and Tile Industry International,Bauverlag Gmbh,Metrics,2018,2018,6,44-49
23661313,,ZKG International,Bauverlag BV Gmbh,Metrics,2017,70,12,48-61
